OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,LENGTH_M,SHAPE_Length,From,To,from_suburb,to_suburb
1,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,14/03/2024 0:00,86010.47946,0.848055297,Taree,Stroud,taree,stroud
2,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,73940.19796,0.679662378,Cooma,Williamsdale,cooma,williamsdale
3,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,79961.0569,0.750759091,Williamsdale,Cooma,williamsdale,cooma
4,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,4,14/03/2024 0:00,115002.9333,1.140820373,Sydney West,Bannaby,sydney,bannaby
5,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,62886.25423,0.643965454,Mulwala,Finley,mulwala,finley
6,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,40450.23782,0.438720809,Corowa,Mulwala,corowa,mulwala
7,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,59270.4098,0.636882748,Corowa,Albury,corowa,albury
8,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,330,New South Wales,5,14/03/2024 0:00,49034.94995,0.465835206,Williamsdale,Canberra,williamsdale,canberra
9,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,5,14/03/2024 0:00,12819.73335,0.12166123,Lennox Head,Ballina,lennox head,ballina
10,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,14/03/2024 0:00,7409.26788,0.071196419,Ewingsdale,Suffolk Park,ewingsdale,suffolk park
