index,building_id,address,country,metro_area,slug,exchanges,geometry,index_right,LGA_CODE25,LGA_NAME25,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM
6,20330,"['1 Martin Place' 'Canning Vale' 'Perth, WA, Australia']",australia,perth-wa,1-martin-place,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Perth (Perth, WA, Australia)"", ""1 Martin Place"", ""Canning Vale"", ""Perth, Australia, 6155"" ], ""slug"": ""megaix-perth-perth-wa-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (-1501509.0471153776 -3588648.0195149872),384,51330,Canning,5,Western Australia,AUS,Australia,64.8791
14,16888,"['1 William Street' 'Perth, WA, Australia']",australia,perth-wa,1-william-street,"[ { ""url"": ""https:\/\/www.ix.asn.au\/peering\/"", ""members_url"": ""https:\/\/www.waia.asn.au\/ix\/participants"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 108, ""address"": [ ""WA-IX (Perth, WA, Australia)"", ""1 William Street"", ""Perth, Australia, 6000"" ], ""slug"": ""wa-ix-perth-wa-australia"", ""telephone"": ""61 8 9322 3022"", ""email"": ""peering@ix.asn.au"", ""date_online"": ""1997"" }, { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Perth (Perth, WA, Australia)"", ""1 William Street"", ""Perth, Australia, 6000"" ], ""slug"": ""megaix-perth-perth-wa-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" }, { ""url"": ""https:\/\/www.edgeix.net\/"", ""address"": [ ""EdgeIX Perth (Perth, WA, Australia)"", ""1 William Street"", ""Perth, Australia, 6000"" ], ""slug"": ""edgeix-perth-perth-wa-australia"", ""telephone"": ""61 2 9006 9626"", ""email"": ""peering@edgeix.net"" } ]",POINT (-1508562.751456062 -3577794.4549259027),467,57080,Perth,5,Western Australia,AUS,Australia,13.7335
17,19065,"['1-23 Templar Road' 'Sydney, NSW, Australia']",australia,sydney-nsw,1-23-templar-road,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Sydney (Sydney, NSW, Australia)"", ""1-23 Templar Road"", ""Sydney, Australia"" ], ""slug"": ""megaix-sydney-sydney-nsw-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (1724006.0498211554 -3817283.351794282),91,16350,Penrith,1,New South Wales,AUS,Australia,404.7021
25,16743,"['100 Ipswich Road' 'Woolloongabba, QLD, Australia']",australia,brisbane-qld,100-ipswich-road,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""100 Ipswich Road"", ""Woolloongabba, Australia, 4102"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2043802.8818282743 -3150575.840513073),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
29,18556,"['100 Wickham Street' 'QL 4006 Fortitude Valley'
 'Fortitude Valley, QLD, Australia']",australia,brisbane-qld,100-wickham-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/pipeix-locations.php#qld"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 325, ""address"": [ ""PipeIX Brisbane (Brisbane, QLD, Australia)"", ""100 Wickham Street"", ""QL 4006 Fortitude Valley"", ""Fortitude Valley, Australia"" ], ""slug"": ""pipeix-brisbane-brisbane-qld-australia"", ""telephone"": ""+61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (2044166.4589257385 -3147022.6562403482),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
43,18884,"['11 Mary Mackenroth Lane' 'Springfield, QLD, Australia']",australia,brisbane-qld,11-mary-mackenroth-lane,"[ { ""url"": ""https:\/\/www.megaport.com\/solutions\/mega-ix\/"", ""address"": [ ""MegaIX Brisbane (Brisbane, QLD, Australia)"", ""11 Mary Mackenroth Lane"", ""Springfield, Australia, 4300"" ], ""slug"": ""megaix-brisbane-brisbane-qld-australia"", ""telephone"": ""61 730 885 933"", ""email"": ""sales@megaport.com"" } ]",POINT (2027354.624680897 -3169517.49251095),246,33960,Ipswich,3,Queensland,AUS,Australia,1093.8562
44,23276,"['11 Newcastle Street' 'Perth, WA, Australia']",australia,perth-wa,11-newcastle-street,"[ { ""url"": ""https:\/\/www.edgeix.net\/"", ""address"": [ ""EdgeIX Perth (Perth, WA, Australia)"", ""11 Newcastle Street"", ""Perth, Australia, 6000"" ], ""slug"": ""edgeix-perth-perth-wa-australia"", ""telephone"": ""61 2 9006 9626"", ""email"": ""peering@edgeix.net"" } ]",POINT (-1507492.2880993597 -3577016.4541904912),467,57080,Perth,5,Western Australia,AUS,Australia,13.7335
83,15113,"['127 Creek Street' 'Brisbane, QLD, Australia']",australia,brisbane-qld,127-creek-street,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/pipeix-locations.php#qld"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 325, ""address"": [ ""PipeIX Brisbane (Brisbane, QLD, Australia)"", ""127 Creek Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""pipeix-brisbane-brisbane-qld-australia"", ""telephone"": ""+61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" }, { ""url"": ""https:\/\/www.ix.asn.au\/peering\/"", ""members_url"": ""https:\/\/www.waia.asn.au\/ix\/participants"", ""address"": [ ""QLD-IX (Brisbane, QLD, Australia)"", ""127 Creek Street"", ""Brisbane, Australia, 4000"" ], ""slug"": ""qld-ix-brisbane-qld-australia"", ""telephone"": ""61 8 9322 3022"", ""email"": ""peering@ix.asn.au"", ""date_online"": ""August 2011"" } ]",POINT (2043714.3740671976 -3147646.9500651862),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
90,15122,"['132 Franklin Street' 'Adelaide, SA, Australia']",australia,adelaide-sa,132-franklin-street,"[ { ""url"": ""http:\/\/www.pipenetworks.com\/pipeix.php"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 324, ""address"": [ ""PipeIX Adelaide (Adelaide, SA, Australia)"", ""132 Franklin Street"", ""Adelaide, Australia, 5000"" ], ""slug"": ""pipeix-adelaide-adelaide-sa-australia"", ""telephone"": ""61 7 3233 9832"", ""email"": ""sales@pipenetworks.com"" }, { ""url"": ""https:\/\/www.ix.asn.au\/peering\/"", ""address"": [ ""SA-IX (Adelaide, SA, Australia)"", ""132 Franklin Street"", ""Adelaide, Australia, 5000"" ], ""slug"": ""sa-ix-adelaide-sa-australia"", ""email"": ""peering@ix.asn.au"", ""date_online"": ""1998"" } ]",POINT (600440.9092674643 -3829534.946064992),293,40070,Adelaide,4,South Australia,AUS,Australia,15.5733
102,21021,"['148 Brunswick St' 'Brisbane, QLD, Australia']",australia,brisbane-qld,148-brunswick-st,"[ { ""url"": ""https:\/\/www.pipenetworks.com\/pipeix-locations.php#qld"", ""members_url"": ""http:\/\/www.pipenetworks.com\/Peering\/who-text.shtml#"", ""euro_affiliation"": ""non-affiliated"", ""euro_ix_id"": 325, ""address"": [ ""PipeIX Brisbane (Brisbane, QLD, Australia)"", ""148 Brunswick St"", ""Brisbane, Australia"" ], ""slug"": ""pipeix-brisbane-brisbane-qld-australia"", ""telephone"": ""+61 7 3233 9800"", ""email"": ""sales@pipenetworks.com"" } ]",POINT (2044271.573185783 -3146498.346553498),220,31000,Brisbane,3,Queensland,AUS,Australia,1342.7173
